Title,Meaning,Context,Notes
10-10 EZ,VA Form 10-10 EZ Application for Health Benefits,,
1010EZ,VA Form 10-10 EZ Application for Health Benefits,,
10N,Washington DC VACO,,
1U4N,1st letter last name + last 4 of SSN,,
2FA,2-Factor Authentication,,
3DES,Triple Data Encryption Algorithm Standard,,
3GL,3rd Generation Language,,
3PAO,Third Party Assessment Organization,FedRAMP requires a 3PA0 to verify the attestations made in an SSP,
3R,"Recruitment, Retention and Relocation Allowances",,
4WW,Four Wheeled Walker,,
776,VHA CIO Administration System,,
a11y,accessibility,The 11 stands for the 11 letters between the letters “a” and “y”,
A&A,Advisory & Assistance,,
A&A,Aid and Attendance,Ancillary benefit for Veterans who are homebound and need assistance with daily activities. Attaches to Pension or Disability Compensation,
A&A,Assessment and Accreditation,,
A&A,Assessment and Authorization,,
A&A LETTER,Aid & Attendance Letter,,
A&MM,Acquisition and Material Management,,
A&MMS,Acquisitions and Materials Management Services,,
A&PC,Ambulatory and Primary Care,,
A/D,Alcohol and Drug,,
A/E,Architect/Engineer,,
A/H,Auditory Hallucinations,,
A/O,Administrative Offices,,
A/OPC,Agency/Organization Program Coordinator,,
A/R,Accounts Receivable,,
AA,Attorney-Adviser,,
AA,Authorized Absence,,
AAA,Abdominal Aortic Aneurysm,,
AAA,Area Agencies on Aging,,
AAA,"Authentication, Authorization & Access",,
AAL,"Account Activity Logging",,
AAALAC,American Association for Accreditation of Laboratory Animal Care,,
AAAPS,Automatic Appraiser Assignment Processing Center,,
AaaS,API as a Service,,
AABB,American Association of Blood Banks,,
AAC,Austin Automation Center (3/08 See AITC),,
AACS,Automated Allocation & Control System,,
AADF,Activation Advance Development Fund,,
AAFES,Army and Air Force Exchange Service,,
AAFP,American Academy of Family Physicians,,
AAGP,American Association of Geriatric Psychiatry,,
AAH,Academy on Architecture for Health,,
AAH,Account Activity History,,
AAHRPP,Association for the Accreditation of Human Research Protection Programs,,
AAIP,Authorization and Authentication Infrastructure Program,,
AAMC,Association of American Medical Colleges,,
AAMI,Association for the Advancement of Medical Instrumentation,,
AAMS,Automated Acquisition Management System,,
AAR,After Action Report,,
AARP,Association for the Advancement of Retired Persons,,
AASLD,American Academy for the Study of Liver Disease,,
AB,Antibiotic,,
ABC,Activity Based Costing,,
ABD,Abdomen,,
ABD,Automated Benefits Delivery,,
ABEND,Abnormal End,,
ABG,Arterial Blood Gas,,
ABI,Analytics and Business Intelligence,,
ABO,Absent Bed Occupant,,
ABOI,Administrative Board of Investigation (ABOI),,
ABR,Annual Benefits Report,,
ABX,Antibiotics,,
AC,Acceleration Clause,,
AC,Acceptance Criteria,,
AC,Actual Cost,,
AC,Ambulatory Care,,
AC,Antecubital,,
AC,Associate Chief of Staff,,
ACA,Advanced Clinic Access,,
ACA,Affordable Care Act,,
ACAP,Access and Clinic Administration Program,,
ACAS,Assurance Compliance Assessment Solution,ACAS Scan results are valid Test Results that can be uploaded in eMASS,Assured Compliance Assessment Solution (ACAS) is a software set of information security tools used for vulnerability scanning and risk assessment by agencies of the United States Department of Defense (DoD). It performs automated vulnerability scanning and device configuration assessment.
ACBE,Air Contrast Barium Enema,,
ACC,Accounting Classification Code,,
ACC,Ambulatory Care Center,,
ACCME,Accreditation Council for Continuing Medical Education,,
ACD,Automated Call Distributor,,
ACD,Automatic Case Distribution,,
ACDF,Anterior cervical discectomy and fusion,,
ACE,Acceptable Clinical Evidence,,
ACE,Accountable Customer Experience,,
ACE,Adaptive Cloud Environment,,
ACEC,American Consulting Engineers Council,,
ACEP,American College of Emergency Physicians,,
ACES,Access Certificates for Electronic Services,,
